Node Number	X Location (m)	Y Location (m)	Z Location (m)	
247	-2.2498e-003	-2.009e-003	0.	
248	-2.211e-003	-2.134e-003	0.	
249	-2.1138e-003	-2.2226e-003	0.	
250	-1.9858e-003	-2.2496e-003	0.	
251	-1.8619e-003	-2.2084e-003	0.	
252	-1.7754e-003	-2.1098e-003	0.	
253	-7.5e-004	-2.e-003	0.	
254	-7.8474e-004	-1.8729e-003	0.	
255	-8.7872e-004	-1.7814e-003	0.	
256	-1.0061e-003	-1.7501e-003	0.	
257	-1.1318e-003	-1.7875e-003	0.	
258	-1.2211e-003	-1.8833e-003	0.	
259	-1.2498e-003	-2.0109e-003	0.	
260	-1.2103e-003	-2.1352e-003	0.	
261	-1.1136e-003	-2.2227e-003	0.	
262	-9.8606e-004	-2.2496e-003	0.	
263	-8.623e-004	-2.2087e-003	0.	
264	-7.7573e-004	-2.1105e-003	0.	
265	2.5e-004	-2.e-003	0.	
266	2.1541e-004	-1.8731e-003	0.	
267	1.2202e-004	-1.7818e-003	0.	
268	-4.7669e-006	-1.75e-003	0.	
269	-1.3034e-004	-1.7867e-003	0.	
270	-2.2013e-004	-1.8815e-003	0.	
271	-2.4981e-004	-2.0097e-003	0.	
272	-2.1048e-004	-2.1349e-003	0.	
273	-1.1371e-004	-2.2226e-003	0.	
274	1.4007e-005	-2.2496e-003	0.	
275	1.3802e-004	-2.2084e-003	0.	
276	2.2431e-004	-2.1104e-003	0.	
277	1.25e-003	-2.e-003	0.	
278	1.2157e-003	-1.8736e-003	0.	
279	1.1221e-003	-1.7818e-003	0.	
280	9.9499e-004	-1.7501e-003	0.	
281	8.6916e-004	-1.787e-003	0.	
282	7.7936e-004	-1.8825e-003	0.	
283	7.5024e-004	-2.0109e-003	0.	
284	7.9029e-004	-2.1361e-003	0.	
285	8.8749e-004	-2.2233e-003	0.	
286	1.0151e-003	-2.2495e-003	0.	
287	1.1386e-003	-2.2081e-003	0.	
288	1.2245e-003	-2.1101e-003	0.	
289	2.25e-003	-2.e-003	0.	
