Node Number	X Location (m)	Y Location (m)	Z Location (m)	
220	3.5522e-004	-2.1238e-003	0.	
221	3.6748e-004	-1.9993e-003	0.	
222	-4.4386e-004	2.2341e-003	0.	
223	-5.8426e-004	2.186e-003	0.	
224	-5.9251e-004	-2.0574e-003	0.	
225	-6.0778e-004	-2.1366e-003	0.	
226	-6.3768e-004	-2.0102e-003	0.	
227	-4.1688e-004	2.0196e-003	0.	
228	-3.7379e-004	1.9954e-003	0.	
229	-3.7396e-004	2.1215e-003	0.	
230	6.2182e-004	2.1034e-003	0.	
231	5.7755e-004	2.018e-003	0.	
232	6.2234e-004	1.9914e-003	0.	
233	1.1768e-003	6.3076e-004	0.	
234	1.1756e-003	6.9629e-004	0.	
235	1.0655e-003	5.5715e-004	0.	
236	-1.264e-003	1.6285e-003	0.	
237	1.1742e-003	1.6187e-003	0.	
238	1.2218e-004	3.7518e-004	0.	
239	1.1286e-005	4.506e-004	0.	
240	-6.0755e-006	3.7788e-004	0.	
241	1.1534e-003	3.3145e-004	0.	
242	1.152e-003	4.1407e-004	0.	
243	1.0235e-003	4.3183e-004	0.	
244	9.9943e-004	3.7177e-004	0.	
245	1.2465e-003	-1.6122e-003	0.	
246	4.025e-004	-1.7103e-003	0.	
247	3.7813e-004	-1.8638e-003	0.	
248	9.4242e-005	-6.5785e-004	0.	
249	1.3489e-004	-6.0823e-004	0.	
250	4.0552e-005	-5.6629e-004	0.	
251	1.5305e-006	-6.1803e-004	0.	
252	-2.7142e-004	1.3696e-003	0.	
253	-1.3433e-004	1.371e-003	0.	
254	-7.0972e-004	-1.3646e-003	0.	
255	-8.5205e-004	-1.3698e-003	0.	
256	-1.2052e-004	-3.7297e-004	0.	
257	-2.6473e-005	-4.6458e-004	0.	
258	1.2633e-005	-3.7757e-004	0.	
259	6.6285e-004	2.1974e-003	0.	
260	6.3001e-004	2.2447e-003	0.	
261	-1.0918e-004	6.1478e-004	0.	
262	3.9785e-006	5.7497e-004	0.	
263	1.8128e-005	6.3056e-004	0.	
264	4.442e-004	9.4423e-004	0.	
265	3.6855e-004	9.9171e-004	0.	
266	-5.6933e-004	9.4023e-004	0.	
267	-6.2702e-004	9.9151e-004	0.	
268	6.2734e-004	-8.8034e-004	0.	
269	5.7318e-004	-9.7673e-004	0.	
270	6.2622e-004	-1.0046e-003	0.	
271	-3.7806e-004	-8.8687e-004	0.	
272	-4.2711e-004	-9.792e-004	0.	
273	-3.7379e-004	-1.0048e-003	0.	
274	1.2575e-003	2.3506e-003	0.	
275	-3.6519e-004	1.7171e-003	0.	
276	-3.6871e-004	1.8621e-003	0.	
277	2.7318e-004	-1.3674e-003	0.	
278	1.5092e-004	-1.3549e-003	0.	
279	-8.8473e-004	3.7094e-004	0.	
280	-1.0007e-003	4.3943e-004	0.	
281	-1.0484e-003	3.8295e-004	0.	
282	-9.2645e-004	-6.1579e-004	0.	
283	-1.0055e-003	-5.3244e-004	0.	
284	-1.0508e-003	-6.0111e-004	0.	
285	3.7347e-004	1.2872e-003	0.	
286	3.7063e-004	1.1382e-003	0.	
287	8.9128e-004	-3.7715e-004	0.	
288	1.0063e-003	-4.5e-004	0.	
289	1.0334e-003	-3.7019e-004	0.	
290	8.8172e-004	6.1994e-004	0.	
291	9.9416e-004	5.7328e-004	0.	
292	1.0236e-003	6.3356e-004	0.	
293	-6.2751e-004	1.2728e-003	0.	
294	-6.2728e-004	1.1334e-003	0.	
295	3.9655e-004	-2.241e-003	0.	
296	6.2494e-004	-2.141e-003	0.	
297	5.0226e-004	-2.2273e-003	0.	
298	-6.1706e-004	2.9217e-004	0.	
299	-6.2763e-004	1.3829e-004	0.	
300	-7.9661e-004	-2.2713e-003	0.	
301	-6.5667e-004	-2.2212e-003	0.	
302	-6.8348e-004	-2.1536e-003	0.	
303	-2.7261e-004	-1.631e-003	0.	
304	-1.4429e-004	-1.6322e-003	0.	
305	-1.2612e-003	-2.3465e-003	0.	
306	-2.9518e-004	-6.1971e-004	0.	
307	-1.4602e-004	-6.4775e-004	0.	
308	-3.6498e-004	-1.276e-003	0.	
309	-3.6698e-004	-1.1338e-003	0.	
310	6.3521e-004	-1.2715e-003	0.	
311	6.3315e-004	-1.1333e-003	0.	
312	6.3845e-004	-2.8318e-004	0.	
313	6.329e-004	-1.378e-004	0.	
314	2.9191e-004	6.4039e-004	0.	
315	1.479e-004	6.3019e-004	0.	
316	2.9162e-004	1.6334e-003	0.	
317	1.4801e-004	1.6302e-003	0.	
318	3.7106e-004	2.7189e-004	0.	
319	3.689e-004	1.3222e-004	0.	
320	-7.8394e-004	-1.586e-003	0.	
321	-7.4324e-004	-1.4478e-003	0.	
322	-2.7289e-004	3.6321e-004	0.	
323	-1.4783e-004	3.68e-004	0.	
324	7.3723e-004	1.4064e-003	0.	
325	7.877e-004	-1.4081e-003	0.	
326	7.4156e-004	-1.5387e-003	0.	
327	-7.7968e-004	1.4165e-003	0.	
328	-7.4127e-004	1.5515e-003	0.	
329	2.3501e-004	-1.5475e-003	0.	
330	2.6836e-004	-1.4594e-003	0.	
331	3.8195e-004	-7.0208e-004	0.	
332	3.7046e-004	-8.6294e-004	0.	
333	-2.1521e-004	1.5864e-003	0.	
334	-2.4278e-004	1.4498e-003	0.	
335	2.7014e-004	-3.8268e-004	0.	
336	1.4589e-004	-3.5606e-004	0.	
337	7.3969e-004	3.7376e-004	0.	
338	8.6052e-004	3.5814e-004	0.	
339	-5.8029e-004	-6.9734e-004	0.	
340	-6.2034e-004	-8.6629e-004	0.	
341	-3.5947e-004	-2.663e-004	0.	
342	-3.6746e-004	-1.3367e-004	0.	
343	7.2213e-004	-6.2771e-004	0.	
344	8.597e-004	-6.282e-004	0.	
345	2.2239e-004	1.4238e-003	0.	
346	2.5677e-004	1.5524e-003	0.	
347	-2.2778e-004	-1.4335e-003	0.	
348	-2.4871e-004	-1.5609e-003	0.	
349	-7.0928e-004	-3.7639e-004	0.	
350	-8.5212e-004	-3.6985e-004	0.	
351	-7.0424e-004	5.9191e-004	0.	
352	-8.5829e-004	6.5193e-004	0.	
353	-4.3946e-004	1.7375e-003	0.	
354	-3.9378e-004	7.3982e-004	0.	
355	-3.7245e-004	8.5478e-004	0.	
356	-4.3936e-004	-1.2496e-003	0.	
357	-1.408e-004	-2.3524e-003	0.	
358	-2.5068e-004	-2.2771e-003	0.	
359	-3.2935e-004	-2.4117e-003	0.	
360	6.3477e-004	7.2965e-004	0.	
361	6.3309e-004	8.6707e-004	0.	
362	5.2185e-004	1.7654e-003	0.	
363	5.614e-004	-1.2492e-003	0.	
364	5.9623e-004	-1.791e-003	0.	
365	4.6541e-004	-1.7472e-003	0.	
366	-4.3193e-004	-1.7933e-003	0.	
367	-5.7489e-004	-1.7425e-003	0.	
368	-1.2793e-003	-2.2656e-003	0.	
369	-1.3556e-003	-2.1584e-003	0.	
370	-1.3382e-003	-2.3088e-003	0.	
371	5.707e-004	1.2366e-003	0.	
372	4.5296e-004	1.2654e-003	0.	
373	1.275e-003	2.2646e-003	0.	
374	1.3453e-003	2.16e-003	0.	
375	1.3342e-003	2.3116e-003	0.	
376	-4.1083e-004	1.218e-003	0.	
377	-5.4815e-004	1.2446e-003	0.	
378	2.3778e-004	4.6471e-004	0.	
379	2.7332e-004	5.565e-004	0.	
380	-2.1937e-004	-4.0736e-004	0.	
381	-2.5397e-004	-5.4369e-004	0.	
382	-2.1894e-004	5.6097e-004	0.	
383	-2.5218e-004	4.3767e-004	0.	
384	5.6053e-004	-2.6241e-004	0.	
385	1.3353e-003	1.8548e-003	0.	
386	1.2053e-003	1.6919e-003	0.	
387	1.2706e-003	1.6179e-003	0.	
388	-4.2954e-004	-2.4008e-004	0.	
389	-7.9182e-004	4.4759e-004	0.	
390	-7.7859e-004	5.3362e-004	0.	
391	5.8043e-004	2.1285e-004	0.	
392	4.5181e-004	2.4753e-004	0.	
393	-4.0367e-004	2.1672e-004	0.	
394	-5.3748e-004	2.5194e-004	0.	
395	-8.0081e-004	-5.8674e-004	0.	
396	-7.4077e-004	-4.4346e-004	0.	
397	7.8279e-004	-4.2297e-004	0.	
398	7.5309e-004	-5.5356e-004	0.	
399	7.5904e-004	5.7311e-004	0.	
